[Connect Table, 0 BearShare addresses]

[Connect Table, 66 foreign addresses]
176.205.160.212:07200, 86400, , 00000, 00000
192.227.228.209:56128, 86400, GTKG			GTK-Gnutella, 00000, 00000
045.088.117.218:06909, 86400, , 00000, 00000
045.088.117.219:06909, 86400, , 00000, 00000
096.065.068.196:35481, 86400, GTKG			GTK-Gnutella, 00000, 00000
073.242.085.192:38003, 86400, , 00000, 00000
094.054.066.254:63637, 86400, GTKG			GTK-Gnutella, 00000, 00000
104.238.172.250:16912, 86400, GTKG			GTK-Gnutella, 00000, 00000
036.008.018.251:06346, 86400, , 00000, 00000
213.229.111.224:04876, 86400, GTKG			GTK-Gnutella, 00000, 00000
045.088.117.225:06909, 86400, , 00000, 00000
082.023.146.155:43004, 86400, GTKG			GTK-Gnutella, 00000, 00000
091.123.025.134:56739, 86400, GTKG			GTK-Gnutella, 00000, 00000
180.150.027.133:38572, 86400, GTKG			GTK-Gnutella, 00000, 00000
076.017.132.139:61585, 86400, GTKG			GTK-Gnutella, 00000, 00000
070.035.249.184:20641, 86400, GTKG			GTK-Gnutella, 00000, 00000
188.137.029.160:18316, 86400, , 00000, 00000
066.235.053.084:41969, 86400, GTKG			GTK-Gnutella, 00000, 00000
172.094.023.071:53373, 86400, GTKG			GTK-Gnutella, 00000, 00000
135.134.085.065:26911, 86400, GTKG			GTK-Gnutella, 00000, 00000
135.134.085.065:39741, 86400, GTKG			GTK-Gnutella, 00000, 00000
151.236.024.112:55302, 86400, GTKG			GTK-Gnutella, 00000, 00000
180.196.018.102:17517, 86400, GTKG			GTK-Gnutella, 00000, 00000
073.252.033.111:26099, 86400, , 00000, 00000
115.128.044.107:01194, 86400, GTKG			GTK-Gnutella, 00000, 00000
036.255.206.104:44933, 86400, , 00000, 00000
176.099.147.022:06346, 86400, GTKG			GTK-Gnutella, 00000, 00000
067.081.035.026:08083, 86400, GTKG			GTK-Gnutella, 00000, 00000
081.099.149.005:06886, 86400, GTKG			GTK-Gnutella, 00000, 00000
089.221.222.062:58284, 86400, GTKG			GTK-Gnutella, 00000, 00000
207.038.226.058:13494, 86400, , 00000, 00000
096.048.228.044:33409, 86400, GTKG			GTK-Gnutella, 00000, 00000
045.088.117.224:06909, 85761, , 00000, 00000
063.228.175.169:01936, 64197, GTKG			GTK-Gnutella, 00000, 00000
047.041.033.123:18341, 59917, , 00000, 00000
205.147.016.184:47782, 59125, , 00000, 00000
082.066.039.066:45488, 54505, GTKG			GTK-Gnutella, 00000, 00000
099.251.060.173:39286, 52678, , 00000, 00000
107.012.245.083:03442, 52293, , 00000, 00000
047.190.115.064:41690, 51262, PHEX			Phex, 00000, 00000
072.174.018.090:46534, 49005, , 00000, 00000
047.190.115.064:02233, 47448, PHEX			Phex, 00000, 00000
071.250.074.036:30456, 44294, , 00000, 00000
086.021.125.168:46282, 41474, , 00000, 00000
031.179.110.174:46010, 38823, GTKG			GTK-Gnutella, 00000, 00000
217.168.163.074:13497, 35291, , 00000, 00000
147.010.223.214:27457, 33619, , 00000, 00000
073.079.186.039:45760, 28604, , 00000, 00000
084.233.199.147:45760, 17852, , 00000, 00000
198.044.137.094:10703, 14350, GTKG			GTK-Gnutella, 00000, 00000
066.242.085.016:11252, 11273, , 00000, 00000
181.091.033.103:60262, 11104, GTKG			GTK-Gnutella, 00000, 00000
024.140.132.096:20311, 08711, , 00000, 00000
217.063.062.165:26750, 05217, , 00000, 00000
081.133.152.055:64049, 05161, GTKG			GTK-Gnutella, 00000, 00000
098.208.102.062:26007, 00195, GTKG			GTK-Gnutella, 00000, 00000
213.152.186.122:26007, 00001, GTKG			GTK-Gnutella, 00000, 00000
060.248.085.240:22232, 00000, , 00000, 00000
114.039.191.235:13993, 00000, , 00000, 00000
061.062.190.232:06023, 00000, , 00000, 00000
116.048.033.064:20016, 00000, , 00000, 00000
106.105.007.075:20706, 00000, , 00000, 00000
085.167.081.113:20832, 00000, , 00000, 00000
182.233.059.026:23464, 00000, , 00000, 00000
111.251.222.006:08163, 00000, , 00000, 00000
114.036.000.055:12493, 00000, , 00000, 00000

[Connect Table, 0 unknown addresses]

[Connect Table, 0 UDP addresses]
